seconds,data
26.367,0.3712499999999999
26.403,0.4014999999999999
26.441,0.3714999999999999
26.495,0.3942499999999999
26.529,0.37975
26.566,0.3799999999999999
26.599,0.39125
26.648,0.3695
26.68,0.4004999999999998
26.734,0.3924999999999998
26.764,0.383
26.803,0.4109999999999999
26.852,0.3747499999999999
26.895,0.3977499999999999
26.918,0.39
26.978,0.3892499999999999
27.017,0.369
27.051,0.3729999999999999
27.082,0.3719999999999999
27.121,0.39225
27.166,0.3824999999999999
27.199,0.37
27.254,0.374
27.284,0.367
27.32,0.3839999999999999
27.367,0.3714999999999999
27.403,0.3964999999999999
27.457,0.3929999999999999
27.484,0.37925
27.524,0.368
27.563,0.3704999999999999
27.622,0.37875
27.644,0.3954999999999999
27.681,0.3774999999999999
27.718,0.39475
27.774,0.3834999999999999
27.806,0.3734999999999999
27.841,0.3852500000000001
27.883,0.3807499999999999
27.919,0.38325
27.971,0.372
28.004,0.3702499999999999
28.052,0.4012499999999999
28.079,0.4125
28.135,0.393
28.158,0.4024999999999999
28.217,0.3847499999999999
28.241,0.3624999999999999
28.283,0.38225
28.341,0.3682499999999999
28.36,0.3957499999999999
28.412,0.39225
28.444,0.378
28.482,0.4067499999999999
28.531,0.4225
28.562,0.4199999999999999
28.613,0.4124999999999998
28.646,0.4134999999999998
28.681,0.3932499999999999
28.725,0.3984999999999999
28.764,0.3984999999999999
28.81,0.3937499999999999
28.843,0.41625
28.886,0.4177499999999999
28.937,0.4279999999999999
28.959,0.418
29.004,0.4169999999999999
29.07,0.4145
29.086,0.4247499999999999
29.123,0.41875
29.161,0.4147499999999999
29.202,0.414
29.243,0.44525
29.292,0.4185
29.326,0.40975
29.361,0.402
29.406,0.3982499999999999
29.441,0.42025
29.484,0.422
29.535,0.3805
29.569,0.4205
29.599,0.3994999999999998
29.664,0.3742499999999999
29.683,0.3784999999999999
29.731,0.4097499999999999
29.762,0.4075
29.805,0.4215
29.821,0.376
29.839,0.3757499999999999
29.879,0.39
29.937,0.3937499999999999
29.968,0.3774999999999999
30.001,0.3854999999999999
30.06,0.3812499999999998
30.089,0.39325
30.118,0.3834999999999999
30.164,0.4079999999999999
30.201,0.37875
30.261,0.3922500000000001
30.298,0.3684999999999999
30.318,0.3752499999999998
30.384,0.38625
30.4,0.3705
30.441,0.38
30.484,0.38325
30.533,0.38525
30.566,0.38575
30.598,0.3780000000000001
30.654,0.3905
30.687,0.3745
30.719,0.4105
30.769,0.4092499999999999
30.802,0.4227499999999999
30.847,0.3952499999999999
30.882,0.42825
30.921,0.4112499999999999
30.971,0.4187499999999999
31.003,0.42425
31.059,0.4165
31.09,0.4145
31.119,0.3857499999999999
31.169,0.44675
31.201,0.4364999999999999
31.242,0.424
31.283,0.4237499999999999
31.324,0.4327499999999999
31.367,0.4187499999999999
31.401,0.418
31.445,0.39175
31.48,0.4317499999999999
31.523,0.448
31.569,0.4407500000000001
31.605,0.44925
31.64,0.48275
31.703,0.4595
31.722,0.4705
31.76,0.4685000000000001
31.798,0.4802499999999999
31.844,0.5
31.884,0.482
31.92,0.4534999999999999
31.964,0.4519999999999999
31.998,0.4177499999999999
32.052,0.3995000000000001
32.08,0.425
32.118,0.43625
32.165,0.4655
32.201,0.4405
32.238,0.422
32.304,0.41825
32.32,0.4157499999999999
32.362,0.4009999999999999
32.419,0.4155
32.438,0.4014999999999998
32.492,0.4227499999999999
32.521,0.40425
32.568,0.4179999999999999
32.611,0.3867499999999999
32.644,0.4149999999999999
32.68,0.46425
32.72,0.45175
32.774,0.44175
32.806,0.45475
32.842,0.4527500000000001
32.893,0.4449999999999999
32.928,0.46825
32.967,0.47875
33.012,0.4549999999999999
33.04,0.45075
33.08,0.4579999999999999
33.14,0.4675
33.16,0.4367500000000001
33.207,0.4654999999999999
33.241,0.4782499999999999
33.283,0.46275
33.318,0.47875
33.377,0.4685
33.4,0.46375
33.438,0.4640000000000001
33.493,0.4622499999999999
33.526,0.45125
33.562,0.4815
33.612,0.4795
33.643,0.4885
33.686,0.4625
33.741,0.497
33.762,0.46975
33.801,0.4725
33.838,0.471
33.897,0.46875
33.921,0.46275
33.961,0.472
34.014,0.4720000000000001
34.06,0.4942499999999999
34.079,0.4805
34.126,0.4805
34.161,0.4845
34.203,0.46825
34.247,0.46975
34.28,0.47275
34.341,0.47975
34.363,0.46475
34.417,0.473
34.455,0.48225
34.484,0.4865
34.534,0.4815
34.567,0.48375
34.6,0.48925
34.648,0.4845
34.684,0.4912499999999999
34.725,0.4755
34.761,0.47925
34.804,0.4725
34.842,0.47375
34.885,0.4787499999999999
34.931,0.4902500000000001
34.965,0.47925
35.005,0.4885
35.067,0.477
35.097,0.46775
35.122,0.4982499999999999
35.176,0.478
35.199,0.46875
35.252,0.484
35.285,0.4690000000000001
35.323,0.475
35.36,0.4794999999999999
35.403,0.4854999999999999
35.45,0.47375
35.465,0.47175
35.501,0.4659999999999999
35.527,0.496
35.565,0.504
35.601,0.488
35.65,0.4955
35.682,0.4629999999999999
35.722,0.48225
35.781,0.50575
35.8,0.474
35.853,0.48175
35.885,0.484
35.925,0.4845
35.971,0.48375
36.006,0.4639999999999999
36.043,0.4395
36.089,0.4575
36.124,0.4612499999999999
36.171,0.4634999999999999
36.204,0.48025
36.243,0.47875
36.285,0.45825
36.323,0.46025
36.381,0.432
36.401,0.443
36.456,0.4339999999999999
36.495,0.48075
36.519,0.4585000000000001
36.561,0.4782499999999999
36.599,0.4549999999999999
36.65,0.45775
36.688,0.4755
36.721,0.4357500000000001
36.776,0.43925
36.807,0.4679999999999999
36.846,0.4402500000000001
36.887,0.4557500000000001
36.923,0.4695
36.965,0.4705
37.003,0.4590000000000001
37.043,0.45975
37.094,0.4927500000000001
37.12,0.46125
37.177,0.4374999999999999
37.218,0.48025
37.238,0.4665
37.293,0.4795
37.323,0.473
37.362,0.48525
37.402,0.487
37.453,0.47525
37.491,0.473
37.524,0.482
37.562,0.4765
37.609,0.502
37.64,0.47775
37.685,0.4705
37.726,0.473
37.763,0.476
37.82,0.47925
37.843,0.4875
37.889,0.47475
37.925,0.507
37.965,0.50475
38.013,0.51075
38.047,0.51325
38.085,0.4620000000000001
38.119,0.4620000000000001
38.161,0.48075
38.21,0.4649999999999999
38.244,0.5097499999999999
38.285,0.49275
38.325,0.4349999999999999
38.366,0.4645
38.425,0.4475
38.441,0.4452499999999999
38.485,0.47375
38.539,0.46525
38.56,0.43175
38.61,0.4337499999999999
38.643,0.4455
38.682,0.425
38.73,0.4179999999999999
38.76,0.4379999999999999
38.81,0.4674999999999999
38.842,0.471
38.886,0.45575
38.923,0.456
38.963,0.456
39.011,0.4497500000000001
39.047,0.476
39.082,0.4845
39.135,0.49575
39.158,0.48225
39.207,0.4712499999999999
39.263,0.4592499999999999
39.287,0.47575
39.325,0.47825
39.36,0.4735000000000001
39.401,0.46525
39.44,0.46875
39.488,0.43525
39.526,0.3939999999999999
39.563,0.4369999999999999
39.601,0.4087499999999999
39.644,0.4054999999999999
39.684,0.3999999999999999
39.73,0.46075
39.766,0.4309999999999999
39.807,0.45575
39.859,0.42625
39.884,0.4532499999999999
39.925,0.47725
39.959,0.486
40.01,0.4555
40.046,0.48875
40.094,0.4942499999999999
40.119,0.4472499999999999
40.164,0.4217499999999999
40.211,0.45775
40.252,0.4499999999999999
40.284,0.485
40.321,0.4795
40.364,0.452
40.403,0.39475
40.459,0.452
40.48,0.4207499999999999
40.531,0.4367500000000001
40.577,0.3959999999999999
40.6,0.423
40.643,0.4552499999999999
40.683,0.4479999999999999
40.723,0.4295
40.767,0.44075
40.803,0.4125
40.84,0.42225
40.882,0.4235
40.927,0.4504999999999999
40.964,0.4625
41.002,0.48975
41.047,0.4555
41.096,0.47
41.121,0.4257500000000001
41.135,0.4625
41.173,0.48075
41.212,0.46475
41.243,0.464
41.298,0.473
41.32,0.40975
41.374,0.4405
41.409,0.4297500000000001
41.442,0.4359999999999999
41.48,0.4085
41.522,0.43775
41.574,0.4325
41.604,0.4499999999999999
41.642,0.4485
41.689,0.4472499999999999
41.722,0.47775
41.773,0.45625
41.806,0.4519999999999999
41.84,0.46325
41.895,0.4525
41.924,0.452
41.972,0.46575
42.006,0.46725
42.039,0.47675
42.081,0.501
42.12,0.47375
42.168,0.49875
42.226,0.488
42.241,0.5262500000000001
42.285,0.48725
42.324,0.46875
42.36,0.4915
42.411,0.48875
42.442,0.5025
42.498,0.4845
42.521,0.4904999999999999
42.562,0.49475
42.624,0.46175
42.643,0.47625
42.685,0.4767499999999999
42.721,0.47625
42.773,0.495
42.807,0.4762499999999999
42.843,0.4499999999999999
42.881,0.46475
42.919,0.47425
42.966,0.4987499999999999
43.005,0.47425
43.04,0.4865
43.08,0.488
43.127,0.46925
43.161,0.47175
43.221,0.48375
43.243,0.44825
43.281,0.47175
43.341,0.46975
43.361,0.46725
43.411,0.45925
43.444,0.4792499999999999
43.485,0.47125
43.522,0.4549999999999999
43.564,0.4687500000000001
43.605,0.4755
43.639,0.48875
43.684,0.4695
43.719,0.4677499999999999
43.766,0.442
43.805,0.4834999999999999
43.842,0.484
43.88,0.45525
43.919,0.44975
43.959,0.4625
44.005,0.4760000000000001
44.04,0.462
44.08,0.454
44.128,0.433
44.164,0.4755
44.203,0.47875
44.258,0.444
44.281,0.4317499999999999
44.326,0.4287499999999999
44.362,0.4554999999999999
44.409,0.43825
44.441,0.4555
44.491,0.4439999999999999
44.542,0.449
44.56,0.47375
44.608,0.47775
44.66,0.476
44.681,0.4674999999999999
44.724,0.4655
44.761,0.47875
44.802,0.4595
44.846,0.45875
44.882,0.44825
44.937,0.472
44.969,0.45725
45.0,0.4702499999999999
45.047,0.4594999999999999
45.083,0.4475
45.131,0.4599999999999999
45.167,0.454
45.201,0.45675
45.26,0.44025
45.283,0.47325
45.322,0.46225
45.378,0.47225
45.403,0.47825
45.441,0.4954999999999999
45.48,0.4692499999999999
45.535,0.473
45.566,0.47
45.6,0.45975
45.655,0.48175
45.688,0.4725
45.721,0.48375
45.763,0.49275
45.807,0.4772499999999999
45.848,0.4805
45.882,0.48575
45.923,0.46675
45.988,0.48125
46.004,0.4755
46.043,0.47475
46.088,0.482
46.12,0.486
46.165,0.48325
46.202,0.4867499999999999
46.248,0.47525
46.281,0.472
46.329,0.4822499999999999
46.365,0.47275
46.401,0.471
46.444,0.4985
46.482,0.492
46.527,0.4705
46.581,0.52
46.601,0.47
46.643,0.479
46.7,0.474
46.722,0.4675
46.762,0.476
46.802,0.481
46.818,0.4845
46.839,0.48125
46.892,0.47775
46.924,0.48075
46.959,0.49025
47.0,0.4745
47.046,0.485
47.094,0.4832499999999999
47.12,0.46275
47.17,0.4627500000000001
47.202,0.48425
47.242,0.4715
47.306,0.47275
47.326,0.48025
47.364,0.4735
47.42,0.45525
47.441,0.4775
47.494,0.47475
47.524,0.471
47.56,0.45975
47.602,0.47975
47.643,0.4675
47.696,0.46175
47.729,0.4379999999999999
47.761,0.4395
47.807,0.4755
47.843,0.462
47.891,0.44
47.926,0.46875
47.966,0.467
48.015,0.46725
48.04,0.44575
48.081,0.44575
48.119,0.4750000000000001
48.175,0.45775
48.207,0.486
48.242,0.4725
48.281,0.4459999999999999
48.32,0.4525
48.38,0.497
48.403,0.46625
48.441,0.45175
48.482,0.47175
48.525,0.48375
48.563,0.4825
48.62,0.46775
48.641,0.453
48.68,0.4862499999999999
48.738,0.4870000000000001
48.761,0.4965
48.807,0.46525
48.838,0.4695
48.894,0.48225
48.926,0.4822499999999999
48.962,0.47325
49.005,0.47325
49.039,0.4610000000000001
49.078,0.50275
49.127,0.50475
49.165,0.47225
49.212,0.4950000000000001
49.248,0.4595
49.28,0.47325
49.341,0.476
49.363,0.49075
49.409,0.4937500000000001
49.46,0.4952499999999999
49.479,0.49375
49.523,0.4735
49.565,0.4732499999999999
49.614,0.4775
49.648,0.472
49.682,0.47375
49.725,0.4852499999999999
49.761,0.4895
49.805,0.47375
49.842,0.4997499999999999
49.888,0.4845
49.927,0.47475
49.964,0.4705
50.003,0.4659999999999999
50.06,0.49175
50.089,0.489
50.123,0.4825
50.161,0.47075
50.207,0.51575
50.249,0.50375
50.284,0.50225
50.33,0.4645
50.365,0.4922499999999999
50.402,0.48125
50.447,0.4659999999999999
50.483,0.476
50.53,0.51
50.565,0.478
50.603,0.47075
50.657,0.472
50.68,0.4852499999999999
50.722,0.476
50.78,0.471
50.803,0.4650000000000001
50.846,0.4967499999999999
50.881,0.4805
50.928,0.4825
50.965,0.4875
51.003,0.46325
51.047,0.46625
51.095,0.4812499999999999
51.12,0.4690000000000001
51.165,0.48175
51.201,0.4750000000000001
51.248,0.4574999999999999
51.284,0.4575
51.324,0.4825
51.381,0.4869999999999999
51.402,0.4835
51.45,0.4595
51.499,0.4827499999999999
51.522,0.47075
51.562,0.4645
51.599,0.4760000000000001
51.648,0.48375
51.683,0.47125
51.732,0.47275
51.769,0.475
51.802,0.4702499999999999
51.849,0.46725
51.884,0.4695
51.925,0.4892500000000001
51.971,0.47025
52.006,0.495
52.041,0.49275
52.092,0.5102500000000001
52.121,0.4625
52.175,0.46375
52.209,0.4695
52.242,0.469
52.285,0.47425
52.321,0.46975
52.367,0.4795
52.401,0.4652499999999999
52.447,0.4722499999999999
52.461,0.47175
52.482,0.47375
52.521,0.47425
52.56,0.46675
52.61,0.469
52.64,0.4865
52.709,0.4725
52.727,0.48875
52.76,0.486
52.825,0.48
52.842,0.48075
52.881,0.4892500000000001
52.92,0.49375
52.967,0.47425
53.011,0.46675
53.044,0.481
53.081,0.492
53.119,0.48775
53.168,0.4684999999999999
53.206,0.4775
53.245,0.47775
53.292,0.46975
53.326,0.4915
53.362,0.46175
53.427,0.4765
53.443,0.49125
53.487,0.46725
53.54,0.4735
53.561,0.4619999999999999
53.605,0.48525
53.642,0.5015000000000001
53.681,0.4855
53.719,0.47575
53.768,0.483
53.81,0.4967499999999999
53.845,0.50325
53.881,0.466
53.927,0.47475
53.962,0.4644999999999999
54.016,0.4857499999999999
54.049,0.46925
54.087,0.4642499999999999
54.136,0.50125
54.16,0.479
54.21,0.4787499999999999
54.242,0.4895
54.281,0.4755
54.335,0.486
54.371,0.473
54.402,0.481
54.442,0.4855
54.484,0.4897499999999999
54.541,0.476
54.575,0.48375
54.605,0.4715
54.645,0.48525
54.682,0.47125
54.746,0.47025
54.766,0.4610000000000001
54.801,0.46375
54.866,0.4772499999999999
54.884,0.4785
54.92,0.4575
54.965,0.45875
55.016,0.4544999999999999
55.042,0.4387500000000001
55.097,0.45075
55.121,0.434
55.183,0.4349999999999999
55.202,0.4625
55.245,0.4575
55.283,0.45025
55.331,0.4487500000000001
55.367,0.47225
55.402,0.477
55.462,0.48425
55.482,0.494
55.527,0.4695
55.583,0.45525
55.603,0.4662499999999999
55.645,0.47975
55.685,0.49
55.726,0.48925
55.762,0.47225
55.808,0.47875
55.846,0.47775
55.884,0.4892500000000001
55.933,0.492
55.965,0.492
56.0,0.4599999999999999
56.049,0.48175
56.101,0.47775
56.122,0.4915
56.182,0.47875
56.204,0.4832499999999999
56.241,0.48075
56.282,0.48075
56.334,0.4735
56.369,0.4745
56.406,0.50075
56.441,0.47475
56.483,0.46225
56.527,0.4795
56.567,0.492
56.606,0.4610000000000001
56.645,0.492
56.687,0.46275
56.723,0.478
56.775,0.4775
56.804,0.47275
56.845,0.487
56.895,0.4747499999999999
56.924,0.497
56.961,0.4845
57.0,0.47275
57.044,0.47375
57.099,0.4815
57.134,0.484
57.164,0.4692499999999999
57.202,0.4655
57.24,0.48625
57.285,0.4615
57.324,0.487
57.371,0.473
57.406,0.4715
57.442,0.4975
57.501,0.473
57.525,0.4847499999999999
57.568,0.47525
57.62,0.4614999999999999
57.644,0.48575
57.691,0.485
57.727,0.48325
